entity_id,entity_class,pointer,view_refs,artifact_refs,code_module,test_id,pipeline_evidence,status,owner,notes
bTHxu,api_event,/api/bTHxw,openapi_operation:incoming-bthxu-1vss70a,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHxu,accept:m2:bTHxu,inventory:/api/bTHxw,mapped,pending-owner,pending
bTHxW,api_event,/api/bTHxY,openapi_operation:incoming-bthxw-53c7uc,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHxW,accept:m2:bTHxW,inventory:/api/bTHxY,mapped,pending-owner,pending
bTHyM,api_event,/api/bTHyT,openapi_operation:incoming-bthym-1o10633,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHyM,accept:m2:bTHyM,inventory:/api/bTHyT,mapped,pending-owner,pending
bTHyU,api_event,/api/bTHye,openapi_operation:incoming-bthyu-1lt3cjb,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHyU,accept:m2:bTHyU,inventory:/api/bTHye,mapped,pending-owner,pending
bTHzC,api_event,/api/bTHzE,openapi_operation:incoming-bthzc-1l9dlna,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHzC,accept:m2:bTHzC,inventory:/api/bTHzE,mapped,pending-owner,pending
bTHzg,api_event,/api/bTHzi,openapi_operation:incoming-bthzg-1v8zama,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTHzg,accept:m2:bTHzg,inventory:/api/bTHzi,mapped,pending-owner,pending
bTIAw,api_event,/api/bTIBB,openapi_operation:incoming-btiaw-114yx1q,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIAw,accept:m2:bTIAw,inventory:/api/bTIBB,mapped,pending-owner,pending
bTIBO,api_event,/api/bTIBT,openapi_operation:incoming-btibo-ugyzwh,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIBO,accept:m2:bTIBO,inventory:/api/bTIBT,mapped,pending-owner,pending
bTICV,api_event,/api/bTICa,openapi_operation:incoming-bticv-15uluub,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTICV,accept:m2:bTICV,inventory:/api/bTICa,mapped,pending-owner,pending
bTIDk,api_event,/api/bTIDp,openapi_operation:incoming-btidk-vkow2n,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIDk,accept:m2:bTIDk,inventory:/api/bTIDp,mapped,pending-owner,pending
bTIEN,api_event,/api/bTIES,openapi_operation:incoming-btien-lv85wd,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIEN,accept:m2:bTIEN,inventory:/api/bTIES,mapped,pending-owner,pending
bTIFU,api_event,/api/bTIFW,openapi_operation:incoming-btifu-roo5d3,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIFU,accept:m2:bTIFU,inventory:/api/bTIFW,mapped,pending-owner,pending
bTIgm,api_event,/api/bTIgo,openapi_operation:incoming-btigm-13zdrdu,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIgm,accept:m2:bTIgm,inventory:/api/bTIgo,mapped,pending-owner,pending
bTIlT,api_event,/api/bTIlY,openapi_operation:incoming-btilt-15wmp52,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIlT,accept:m2:bTIlT,inventory:/api/bTIlY,mapped,pending-owner,pending
bTIoZ,api_event,/api/bTIoe,openapi_operation:incoming-btioz-170hyez,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIoZ,accept:m2:bTIoZ,inventory:/api/bTIoe,mapped,pending-owner,pending
bTIQS,api_event,/api/bTIQU,openapi_operation:incoming-btiqs-tbr6fe,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIQS,accept:m2:bTIQS,inventory:/api/bTIQU,mapped,pending-owner,pending
bTIsJ,api_event,/api/bTIsO,openapi_operation:incoming-btisj-vwj12f,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIsJ,accept:m2:bTIsJ,inventory:/api/bTIsO,mapped,pending-owner,pending
bTIsU,api_event,/api/bTIsW,openapi_operation:incoming-btisu-oetrc6,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIsU,accept:m2:bTIsU,inventory:/api/bTIsW,mapped,pending-owner,pending
bTIwG,api_event,/api/bTIwL,openapi_operation:incoming-btiwg-nuhxyc,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIwG,accept:m2:bTIwG,inventory:/api/bTIwL,mapped,pending-owner,pending
bTIWG,api_event,/api/bTIWI,openapi_operation:incoming-btiwg-15iokck,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIWG,accept:m2:bTIWG,inventory:/api/bTIWI,mapped,pending-owner,pending
bTIWr,api_event,/api/bTIWw,openapi_operation:incoming-btiwr-108w463,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIWr,accept:m2:bTIWr,inventory:/api/bTIWw,mapped,pending-owner,pending
bTIwW,api_event,/api/bTIwY,openapi_operation:incoming-btiww-sabl1w,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTIwW,accept:m2:bTIwW,inventory:/api/bTIwY,mapped,pending-owner,pending
bTJCM,api_event,/api/bTJCR,openapi_operation:incoming-btjcm-1yq83bj,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTJCM,accept:m2:bTJCM,inventory:/api/bTJCR,mapped,pending-owner,pending
bTJGw,api_event,/api/bTJGy,openapi_operation:incoming-btjgw-2hcoa1,agent/contracts/openapi-incoming.json;agent/contracts/openapi-outgoing.json,m2/api_event/bTJGw,accept:m2:bTJGw,inventory:/api/bTJGy,mapped,pending-owner,pending
bTHxp,api_event.action,/api/bTHxY/actions/0,,,m2/api_event/action/bTHxp,accept:m2:bTHxp,inventory:/api/bTHxY/actions/0,unmapped,pending-owner,pending
bTHya,api_event.action,/api/bTHye/actions/1,,,m2/api_event/action/bTHya,accept:m2:bTHya,inventory:/api/bTHye/actions/1,unmapped,pending-owner,pending
bTHyA,api_event.action,/api/bTHxw/actions/0,,,m2/api_event/action/bTHyA,accept:m2:bTHyA,inventory:/api/bTHxw/actions/0,unmapped,pending-owner,pending
bTHyC,api_event.action,/api/bTHxw/actions/1,,,m2/api_event/action/bTHyC,accept:m2:bTHyC,inventory:/api/bTHxw/actions/1,unmapped,pending-owner,pending
bTHyO,api_event.action,/api/bTHyT/actions/0,,,m2/api_event/action/bTHyO,accept:m2:bTHyO,inventory:/api/bTHyT/actions/0,unmapped,pending-owner,pending
bTHyS,api_event.action,/api/bTHyT/actions/1,,,m2/api_event/action/bTHyS,accept:m2:bTHyS,inventory:/api/bTHyT/actions/1,unmapped,pending-owner,pending
bTHyZ,api_event.action,/api/bTHye/actions/0,,,m2/api_event/action/bTHyZ,accept:m2:bTHyZ,inventory:/api/bTHye/actions/0,unmapped,pending-owner,pending
bTHzu,api_event.action,/api/bTHzi/actions/0,,,m2/api_event/action/bTHzu,accept:m2:bTHzu,inventory:/api/bTHzi/actions/0,unmapped,pending-owner,pending
bTHzz,api_event.action,/api/bTHzi/actions/1,,,m2/api_event/action/bTHzz,accept:m2:bTHzz,inventory:/api/bTHzi/actions/1,unmapped,pending-owner,pending
bTIAc,api_event.action,/api/bTHzE/actions/1,,,m2/api_event/action/bTIAc,accept:m2:bTIAc,inventory:/api/bTHzE/actions/1,unmapped,pending-owner,pending
bTIAE,api_event.action,/api/bTHzi/actions/2,,,m2/api_event/action/bTIAE,accept:m2:bTIAE,inventory:/api/bTHzi/actions/2,unmapped,pending-owner,pending
bTIAG,api_event.action,/api/bTHzi/actions/3,,,m2/api_event/action/bTIAG,accept:m2:bTIAG,inventory:/api/bTHzi/actions/3,unmapped,pending-owner,pending
bTIAL,api_event.action,/api/bTHzi/actions/4,,,m2/api_event/action/bTIAL,accept:m2:bTIAL,inventory:/api/bTHzi/actions/4,unmapped,pending-owner,pending
bTIAQ,api_event.action,/api/bTHzi/actions/5,,,m2/api_event/action/bTIAQ,accept:m2:bTIAQ,inventory:/api/bTHzi/actions/5,unmapped,pending-owner,pending
bTIAS,api_event.action,/api/bTHzi/actions/6,,,m2/api_event/action/bTIAS,accept:m2:bTIAS,inventory:/api/bTHzi/actions/6,unmapped,pending-owner,pending
bTIAX,api_event.action,/api/bTHzE/actions/0,,,m2/api_event/action/bTIAX,accept:m2:bTIAX,inventory:/api/bTHzE/actions/0,unmapped,pending-owner,pending
bTIBH,api_event.action,/api/bTIBB/actions/0,,,m2/api_event/action/bTIBH,accept:m2:bTIBH,inventory:/api/bTIBB/actions/0,unmapped,pending-owner,pending
bTIBU,api_event.action,/api/bTIBT/actions/0,,,m2/api_event/action/bTIBU,accept:m2:bTIBU,inventory:/api/bTIBT/actions/0,unmapped,pending-owner,pending
bTICC,api_event.action,/api/bTIBB/actions/2,,,m2/api_event/action/bTICC,accept:m2:bTICC,inventory:/api/bTIBB/actions/2,unmapped,pending-owner,pending
bTICE,api_event.action,/api/bTIBB/actions/1,,,m2/api_event/action/bTICE,accept:m2:bTICE,inventory:/api/bTIBB/actions/1,unmapped,pending-owner,pending
bTICh,api_event.action,/api/bTICa/actions/0,,,m2/api_event/action/bTICh,accept:m2:bTICh,inventory:/api/bTICa/actions/0,unmapped,pending-owner,pending
bTICJ,api_event.action,/api/bTIBT/actions/1,,,m2/api_event/action/bTICJ,accept:m2:bTICJ,inventory:/api/bTIBT/actions/1,unmapped,pending-owner,pending
bTICm,api_event.action,/api/bTICa/actions/1,,,m2/api_event/action/bTICm,accept:m2:bTICm,inventory:/api/bTICa/actions/1,unmapped,pending-owner,pending
bTICo,api_event.action,/api/bTICa/actions/2,,,m2/api_event/action/bTICo,accept:m2:bTICo,inventory:/api/bTICa/actions/2,unmapped,pending-owner,pending
